Year,Jurisdiction,Forest Product,Unit of measure,Value
2018,Canada,Lumber - softwood,Cubic Metres,64378500
2018,Canada,Newsprint,Tonnes,3001000
2018,Canada,Printing and writing paper,Tonnes,3053000
2018,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,9171115
2018,Canada,Total Oriented Strandboard,Cubic Metres,7428745
2018,Canada,Total Plywood,Cubic Metres,1742370
2018,Canada,Wood pulp,Tonnes,16183000
2019,Canada,Glue-laminated timber,Cubic Metres,20441
2019,Canada,I-Joist,Cubic Metres,220871
2019,Canada,Laminated veneer lumber,Cubic Metres,5752
2019,Canada,Lumber - hardwood,Cubic Metres,1032100
2019,Canada,Lumber - softwood,Cubic Metres,56659300
2019,Canada,Newsprint,Tonnes,2678000
2019,Canada,Printing and writing paper,Tonnes,2612000
2019,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8453460
2019,Canada,Total Oriented Strandboard,Cubic Metres,6752680
2019,Canada,Total Plywood,Cubic Metres,1700780
2019,Canada,Wood pulp,Tonnes,15421000
2020,Canada,Glue-laminated timber,Cubic Metres,20176
2020,Canada,I-Joist,Cubic Metres,232729
2020,Canada,Laminated veneer lumber,Cubic Metres,5663
2020,Canada,Lumber - hardwood,Cubic Metres,997200
2020,Canada,Lumber - softwood,Cubic Metres,54718300
2020,Canada,Newsprint,Tonnes,1957000
2020,Canada,Printing and writing paper,Tonnes,2266000
2020,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8301257
2020,Canada,Total Oriented Strandboard,Cubic Metres,6628794
2020,Canada,Total Plywood,Cubic Metres,1672463
2020,Canada,Wood pulp,Tonnes,14299000
2021,Canada,Glue-laminated timber,Cubic Metres,21149
2021,Canada,I-Joist,Cubic Metres,258745
2021,Canada,Laminated veneer lumber,Cubic Metres,6371
2021,Canada,Lumber - hardwood,Cubic Metres,880100
2021,Canada,Lumber - softwood,Cubic Metres,55841700
2021,Canada,Newsprint,Tonnes,1888000
2021,Canada,Printing and writing paper,Tonnes,2434000
2021,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8938386
2021,Canada,Total Oriented Strandboard,Cubic Metres,7240261
2021,Canada,Total Plywood,Cubic Metres,1698125
2021,Canada,Wood pulp,Tonnes,14260000
2022,Canada,Glue-laminated timber,Cubic Metres,23184
2022,Canada,I-Joist,Cubic Metres,239012
2022,Canada,Laminated veneer lumber,Cubic Metres,6283
2022,Canada,Lumber - hardwood,Cubic Metres,873900
2022,Canada,Lumber - softwood,Cubic Metres,50521200
2022,Canada,Newsprint,Tonnes,1838000
2022,Canada,Printing and writing paper,Tonnes,2599000
2022,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8872903
2022,Canada,Total Oriented Strandboard,Cubic Metres,7269462
2022,Canada,Total Plywood,Cubic Metres,1603441
2022,Canada,Wood pulp,Tonnes,13580000
2023,Canada,Glue-laminated timber,Cubic Metres,19291
2023,Canada,I-Joist,Cubic Metres,203970
2023,Canada,Laminated veneer lumber,Cubic Metres,4513
2023,Canada,Lumber - hardwood,Cubic Metres,875600
2023,Canada,Lumber - softwood,Cubic Metres,47537800
2023,Canada,Newsprint,Tonnes,1763000
2023,Canada,Printing and writing paper,Tonnes,2002000
2023,Canada,Structural panels (Plywood and Oriented Strandboard),Cubic Metres,8423373
2023,Canada,Total Oriented Strandboard,Cubic Metres,6819933
2023,Canada,Total Plywood,Cubic Metres,1603441
2023,Canada,Wood pulp,Tonnes,12560000
